,کد قطعه,شماره فنی,نام قطعه,قیمت (ریال) *
0,MY672157DGN,1008100F0000A,مجموعه منيفولد هواي ورودي,"10,216,282"
1,MY672223DGN,482489,مجموعه کارتل روغن گيربکس,"19,908,360"
2,657600DGN,8402210-SF01,کابل باز کننده درب موتور,"1,780,869"
3,MY672086DGN,3003100-SF01,میل رابط جعبه فرمان,"6,228,712"
4,MY672050DGN,3746060-SF02,مجموعه کلید شیشه بالابر,"4,604,328"
5,MY672119DGN,1003002F0016A,واشر قالپاق سوپاپ,"2,626,718"
6,657297DGN,5500260-SF01,قاب هلالی بیرونی گلگیر جلو-راست,"4,084,914"
7,657378DGN,1109190-SF01,لوله خرجی فیلتر هوا,"5,805,457"
8,657193DGN,6203312-SF01-HB01,شيشه جانبي عقب راست,"6,808,190"
9,657132DGN,3506040-SF01,لوله ترمز شماره 4,"1,440,576"
10,MY672210DGN,482099,کاسه نمد شفت اهرم تعويض دنده گيربکس,"2,647,927"
11,MY672059DGN,5103030-SF01,دیواره انتهایی عقب بدنه,"40,527,090"
12,MY672127DGN,1008240F0000,عايق حرارتي بالاي منيفولد دود,"1,908,787"
13,657755DGN,5306170-SF01-BK02,کاور بغل داشبورد چپ,"930,136"
14,657380DGN,6207203-SF01,زه بیرونی درب عقب راست,"5,376,483"
15,657309DGN,5521605-SF01-BK02,پارکابی جلو چپ,"1,605,051"
16,MY672135DGN,1009100F0016,کارتل روغن موتور,"37,856,652"
17,MY672649DGN,2801020-SF01D,سر شاسی جلو راست,"126,045,395"
18,657846DGN,3758100-SF02,مجموعه سوئیچ درب باک،  ESP و  درب پنجم,"4,352,663"
19,MY672081DGN,3402010-SF01,غربیلک فرمان,"44,355,981"
20,657307DGN,5521606-SF01-BK02,پارکابی جلو راست,"1,605,051"
21,657779DGN,1308100-SF01,فن رادیاتور,"32,566,087"
22,MY672103DGN,5306300-SF01,دریچه هواکش میانی داشبورد,"6,431,547"
23,657273DGN,6107102-SF01,نوار دور شیشه جلو چپ,"5,885,533"
24,657859DGN,5306422-SF01-BK02,کاور پشت درب داشبورد,"2,115,491"
